,quality
4208,6
5800,7
687,4
6032,7
3120,6
4335,8
2368,6
1465,5
2151,5
5198,6
5499,6
3954,5
3629,6
6044,6
4251,6
4305,6
5448,6
2405,5
5044,5
1120,6
997,6
2784,6
2437,6
3458,7
4890,6
4190,6
622,6
6156,6
4500,6
6028,6
1962,5
3322,7
2914,6
3302,6
4529,6
880,7
5911,6
840,7
5431,6
6114,6
2672,7
5506,6
2687,5
3960,6
4432,6
2490,6
1236,6
91,5
4213,4
235,6
2634,5
814,6
2763,6
3494,6
3114,6
1546,6
1946,6
2735,6
1724,6
4730,5
987,6
1303,6
1743,6
2465,5
3406,6
1200,6
6413,6
466,6
6,6
2644,6
774,9
936,5
1094,5
2432,5
5977,7
4484,5
3849,5
2388,4
6306,7
2974,6
5382,6
4724,6
3963,7
4447,6
2505,6
677,7
5538,5
1078,5
5065,4
5024,5
2772,7
696,6
4124,7
3798,5
6103,7
5126,6
1921,5
4023,6
4652,5
3834,5
5705,7
2024,5
6486,6
3092,6
4669,5
457,5
5540,5
5691,5
3631,6
732,7
1597,6
3756,5
2481,6
635,6
4135,5
1595,6
3944,6
5618,5
495,6
4952,6
3064,5
3642,6
4129,7
1956,5
43,6
4631,7
52,7
2204,5
5891,5
280,8
5959,8
6455,6
5175,6
196,5
3861,6
385,7
5081,5
1996,6
3367,6
2420,7
3063,5
5882,5
1313,5
2311,7
5091,5
1505,7
5576,5
1547,6
1480,6
2740,6
3887,6
4204,6
5210,6
3025,7
2595,5
725,5
1435,5
4844,6
65,5
4427,5
3917,5
4920,5
5843,7
5804,5
3859,5
3289,5
973,7
799,8
5398,6
2825,6
5730,3
5452,5
2247,6
2589,4
621,5
5776,6
2612,7
4307,7
1663,6
4639,6
6004,6
667,6
807,6
5180,5
3598,7
3596,7
5321,7
2205,5
3571,4
3889,6
4371,5
5997,5
2483,6
5762,5
1138,5
6366,7
1990,4
883,6
1392,6
4422,6
5674,6
1539,6
6491,6
320,7
4417,6
5723,5
2412,4
3726,7
2968,5
6188,5
2803,8
1327,6
3767,5
1460,6
3337,6
2982,6
2343,5
2080,5
5754,6
3196,7
2936,5
6049,6
2110,5
705,5
6230,6
6181,6
2014,5
3143,5
804,6
772,7
4319,7
1953,6
6479,5
3948,5
1369,5
101,5
3603,7
1271,5
5956,7
1375,7
2117,5
3095,6
2382,8
1696,6
132,5
2630,6
3054,6
1769,7
6487,5
3411,6
4605,6
504,6
3914,7
6276,6
1004,6
3760,6
524,5
2104,5
5682,5
6092,6
5217,6
1661,6
5904,7
6003,5
1497,7
3529,7
5158,5
5164,4
4726,6
4264,6
4687,6
2501,5
6136,4
2877,5
4066,6
5481,7
949,5
680,5
1464,8
2188,6
1226,7
2192,6
4786,8
2639,6
5903,7
4491,6
1060,7
2676,6
2543,6
6192,6
888,6
750,6
54,6
5263,6
2237,4
4859,6
2441,6
293,7
4776,6
5267,7
1986,6
2057,7
4630,7
3806,5
3681,8
1598,6
5157,7
1770,6
2394,5
2261,6
5718,5
839,7
2154,4
5138,5
614,5
3510,6
5017,6
1532,7
4573,6
1650,7
1787,7
2754,5
6448,5
4087,6
3671,7
873,3
154,6
984,5
3330,6
4179,5
4387,6
3655,7
5999,6
4945,5
1934,6
2582,7
5863,6
1744,5
2182,5
6364,7
1043,5
4006,6
1457,6
1162,7
4627,6
577,7
1451,5
5861,6
3682,7
2062,5
2214,5
1441,5
3103,7
6305,6
492,6
682,6
1624,7
2419,5
5048,6
498,5
2904,7
3714,4
453,7
2215,6
695,5
523,6
4398,5
1329,5
639,5
3817,6
4489,6
5119,5
4198,5
601,6
3711,6
313,6
995,6
5181,7
4237,5
2175,7
78,5
1991,8
150,7
2731,5
2853,6
3913,6
562,6
5403,7
5826,5
2078,6
3718,5
6399,5
2959,7
4883,6
1973,5
5554,5
5496,6
520,5
3160,6
305,6
6342,6
358,6
1836,6
3620,7
5279,6
476,7
387,5
5551,6
4686,4
2662,6
1189,5
1878,6
1107,7
2195,5
656,6
4526,6
171,6
790,6
2544,6
412,5
6211,6
1167,6
5004,5
3189,5
3517,7
6249,6
3414,7
2010,6
5617,5
3488,6
250,4
690,4
3835,5
3296,5
4836,5
108,6
3863,6
2295,6
1158,6
110,6
2123,5
165,5
4183,7
3038,6
1567,5
4564,7
5104,7
710,5
730,6
1321,6
3515,7
4042,7
4466,5
360,6
5896,6
2376,6
2518,7
251,3
5155,5
5714,6
5876,7
3403,5
1648,5
2889,6
5248,6
4624,6
3985,6
5258,5
2333,8
2734,6
4008,6
2619,6
2939,8
3312,7
2040,6
4645,7
2212,6
2615,7
4754,6
4549,5
4675,6
909,5
1352,6
5822,5
4799,6
5480,5
5988,8
4592,6
454,7
2623,7
1789,7
3474,6
3907,7
2301,5
2025,5
1175,5
6102,7
3781,6
1822,7
218,5
2573,5
5515,6
3555,6
3519,7
6313,5
2400,4
5736,7
541,5
2276,6
4252,6
2815,5
647,6
1970,6
2988,7
1008,7
895,6
1458,6
5713,5
259,4
2915,6
3395,5
4344,6
1035,6
4712,6
1760,6
5799,7
3078,5
6330,6
5130,6
3646,7
1989,7
5203,6
378,6
1704,5
1791,5
1030,6
399,6
2364,5
5740,6
6385,5
483,5
3622,6
6463,6
1056,6
4284,6
3600,6
2168,7
2107,6
1389,6
3012,6
6015,6
2413,4
6340,5
2,6
3190,7
4263,6
5235,5
2439,6
599,7
1655,5
2791,5
3690,7
3809,6
2435,4
1690,4
2306,5
2628,6
5995,5
613,5
1895,6
2770,7
2837,6
1371,7
2766,6
3175,6
558,5
4798,5
3590,7
2378,5
3840,6
2934,5
2404,5
5817,6
4723,6
403,5
140,5
3964,5
135,5
4848,6
2948,6
2681,6
739,6
469,5
5875,5
5064,5
5802,7
3969,6
3536,6
5013,6
2972,6
6254,5
4488,6
3689,8
4704,6
339,7
3128,6
1308,6
5752,6
3042,6
6182,5
1936,6
589,6
5590,5
3372,6
5733,5
4966,5
5378,5
5635,6
4760,6
4635,6
4766,8
1045,5
1720,7
5672,6
3378,8
5614,5
1140,6
1859,6
5834,6
401,5
6324,6
1191,7
1079,6
4346,6
4420,6
5224,7
1931,3
2616,7
2075,5
1697,6
157,7
5781,5
2150,6
2354,6
6068,6
1179,5
4505,5
5146,6
5269,6
4363,5
6358,6
3110,6
1909,5
1426,6
904,8
2401,4
4099,6
3633,6
2242,5
5204,5
186,6
6082,5
988,5
2225,4
3894,6
5708,5
1343,6
3119,5
6268,5
3618,7
1096,6
4805,6
2444,5
941,6
3328,5
6042,5
4508,4
3047,5
756,5
44,6
3031,6
6405,6
3685,6
2566,7
395,5
1884,5
611,6
2935,4
3507,7
1951,4
4972,5
5406,6
1872,5
805,6
4493,6
4995,5
2686,6
5883,6
2760,6
1394,7
1657,6
1304,5
1491,5
1552,7
1089,7
3956,5
1408,7
2165,5
612,5
3201,6
4435,6
2302,5
4702,6
3589,6
5244,7
1581,6
2267,6
5440,5
2240,5
3601,7
5311,7
1161,6
765,6
4117,6
2079,4
5608,5
5512,6
1006,6
3908,7
5488,5
2683,5
5207,6
1561,5
3687,5
127,7
6289,5
714,6
5344,5
359,6
4868,6
3749,6
5968,7
3336,6
6123,5
1825,5
2829,5
3355,6
88,5
5884,7
6126,7
6374,5
6020,6
4339,8
2868,5
49,5
4921,5
2826,6
2990,7
3890,6
1695,6
3569,6
6309,6
1850,7
2617,7
3198,7
4244,5
1517,6
3692,7
391,5
3706,6
5660,6
1715,8
388,6
5461,6
2755,5
6489,6
3981,7
4499,6
1968,6
2726,6
1971,7
1656,5
741,6
3021,4
5984,7
1037,5
3958,6
1439,5
5290,5
1794,5
6090,7
4511,6
2620,5
1940,5
871,5
3024,6
1336,8
3370,6
571,7
3058,5
377,7
2707,5
2278,6
3722,5
4628,6
6203,5
2504,6
4403,5
699,5
1741,6
3382,7
427,5
5772,7
267,5
907,8
2317,5
3855,6
1153,6
4882,5
4404,5
6005,7
1422,5
12,5
5639,5
2742,6
1452,6
821,6
5390,7
1359,7
2561,5
4603,6
4240,6
1272,5
3942,6
820,9
4401,6
5245,6
851,5
3636,7
1958,6
693,5
1827,6
4967,6
6036,5
6219,6
418,6
2597,6
1811,5
1423,4
473,7
3965,4
3070,8
1017,6
2447,6
3374,5
5748,5
5444,6
3050,4
1783,6
509,7
46,4
2550,5
3731,6
1154,4
1054,5
2736,6
5341,7
1429,5
3334,6
3668,5
4552,6
1370,6
1105,7
4876,7
96,6
757,6
3298,6
3968,6
1821,5
3284,6
3526,6
2219,7
2514,7
6034,6
6024,6
199,5
6444,5
1262,6
439,5
736,6
3272,7
702,4
733,6
3678,5
5766,6
136,6
1139,5
731,6
321,5
1115,8
5492,5
5073,5
1788,5
1431,5
463,6
1670,6
1333,8
4671,5
528,6
6217,6
4948,5
3210,5
1947,5
432,7
2822,5
1212,6
1948,7
2056,5
961,7
5115,5
4744,5
1749,6
2571,6
5042,6
1530,5
1722,6
5889,5
4563,7
1582,7
4258,6
5699,5
5905,7
2337,4
3658,7
4691,7
5280,6
4540,6
1372,6
4236,5
5816,6
6299,5
1377,6
4875,6
5925,5
3263,8
4315,7
5477,6
4075,6
1823,6
1498,6
249,5
3793,6
2428,6
230,4
3074,5
2529,5
5828,5
2720,7
3990,6
2334,5
1590,6
3734,5
4774,4
2489,6
6239,6
5389,7
2765,6
3147,6
679,7
671,6
1686,5
2836,6
1777,6
6133,4
1924,4
1750,6
263,6
1904,6
2848,5
5125,5
3323,6
6076,5
3530,5
3420,5
4460,6
3594,7
2579,6
1467,7
2136,6
3512,6
4618,7
6334,5
5746,5
2081,5
5632,5
2453,6
3891,5
5356,7
632,6
4664,7
2303,5
2958,5
3309,7
3075,7
823,6
4939,4
4965,5
118,5
493,6
6260,6
640,7
6072,6
929,5
5307,4
899,6
3803,6
106,5
83,6
22,8
2856,7
977,5
4975,6
1314,6
3082,6
2980,7
4177,6
71,5
3166,6
4583,6
5835,4
6247,5
6281,5
1230,6
3872,4
4296,6
4399,5
559,6
831,4
2584,7
256,7
6290,5
6108,6
1586,5
551,7
139,6
5640,5
5743,5
6085,6
3599,6
5285,6
496,4
1679,5
420,7
4903,5
215,5
2933,6
4355,6
1181,6
4166,7
1263,6
6002,6
4144,6
945,7
2517,6
2002,6
3877,5
3276,8
1163,6
841,7
5503,6
1254,5
6476,6
1470,7
3049,5
488,6
3854,6
6377,5
5553,5
3032,5
1302,6
6051,6
981,7
1780,5
5939,6
5631,5
3422,8
813,6
2536,6
3739,7
5454,6
1689,6
3257,6
5473,6
3306,7
4750,5
2768,6
4095,6
5996,7
1039,5
381,6
2076,5
2733,7
4560,6
3195,6
6164,6
2044,6
3700,5
2126,5
4374,5
624,5
5793,6
4510,6
2026,5
2923,6
5832,5
4658,6
3030,8
2072,5
3559,4
3387,5
1879,6
5265,5
4761,6
270,6
5144,5
691,6
6077,6
4188,6
6201,5
1894,5
3987,6
3265,3
1010,6
2506,6
6048,7
6200,6
918,6
2476,6
1871,6
1357,6
4546,6
1374,7
5585,5
2864,6
76,7
6470,5
3307,3
5879,5
1839,6
1025,6
164,5
5438,5
1391,6
1900,6
2270,7
4996,5
4672,5
4781,5
6031,7
5940,6
6030,7
5952,6
1793,5
5774,4
5607,6
3155,7
3597,6
1071,5
1893,5
5364,6
3500,7
3219,7
2088,6
5777,5
4609,4
3547,6
2421,5
3626,5
5425,6
6054,7
825,6
6064,5
806,5
4102,5
1784,7
1208,6
4217,4
654,7
1861,6
1851,6
1344,8
5250,5
4729,5
6110,6
5827,7
1507,6
3465,6
5106,5
26,6
3445,8
4203,5
2605,6
3709,5
497,6
95,6
5942,6
3141,7
5615,5
5381,5
5837,5
1386,7
4246,6
3811,5
2372,4
3230,6
1354,5
107,6
5921,6
1330,5
198,5
2588,7
4537,5
1184,7
600,6
2814,7
431,5
6045,7
1143,5
3879,4
6025,6
4186,5
3227,6
6248,5
1280,6
84,5
6122,6
501,6
245,6
3262,7
3970,7
5416,6
2716,5
5981,6
1367,5
2996,8
1295,6
5924,6
3661,6
2821,5
6050,5
5435,6
1992,5
5893,6
1299,5
3390,6
2427,6
1993,6
2625,5
6356,5
2043,6
903,6
486,6
662,4
2131,6
6163,6
4667,7
3688,6
1671,7
3875,7
5456,6
3028,6
4519,6
5486,8
1015,5
5369,6
2570,5
5046,6
1218,8
878,6
5090,5
4917,6
2979,7
5209,6
5856,7
3338,6
2697,5
5122,4
4790,6
5117,5
4999,6
1406,8
4255,5
3354,7
1185,5
2777,6
3704,6
646,4
347,6
2789,5
1632,8
5289,6
1113,5
664,6
4304,6
1366,6
5202,5
5075,6
3761,7
168,5
1625,6
537,6
5720,5
5339,6
2748,8
4647,7
1250,7
808,6
1187,8
6007,6
6398,5
1612,7
2890,8
786,6
2654,5
3076,5
5495,6
2813,7
5069,6
6396,6
24,6
1077,5
1593,6
2806,5
4257,5
8,6
867,8
6426,6
6437,5
2461,5
2038,5
5937,6
5562,5
826,6
2668,6
1751,7
2677,6
5411,7
2918,6
5337,5
3657,8
2788,5
5429,5
6283,5
5167,6
1889,5
6131,4
1845,5
3051,5
3851,7
3876,5
6354,6
269,6
4027,5
3348,6
4013,6
3918,7
5061,5
4677,7
1647,7
1914,6
85,6
931,5
4863,7
6055,7
3470,8
2255,6
2164,5
514,7
2190,6
5846,7
5354,5
4783,6
448,6
3346,6
2347,6
4400,5
232,6
2407,6
3392,6
989,7
4986,5
4096,5
2274,7
2443,5
2398,6
468,5
4613,5
1594,6
3829,7
4310,6
1149,5
708,6
2928,7
5991,7
1817,4
1351,7
1418,5
3915,7
2460,5
2082,6
5700,7
5771,7
1768,5
6485,6
4028,6
4276,7
2557,7
4919,5
4402,6
409,5
5086,5
1485,6
4081,6
533,6
3493,7
176,4
3275,4
2411,6
2482,6
4607,6
3727,7
1088,6
258,6
3220,5
3509,6
2233,5
2203,5
3015,6
3482,8
2796,7
5641,5
324,5
421,6
2548,6
4910,5
2148,5
36,5
4278,4
5529,5
2207,7
958,7
1447,6
1142,5
4465,5
6459,5
4149,7
6447,8
4807,6
3140,6
4928,5
5231,5
3224,6
3185,6
874,5
4275,6
6223,6
3259,6
718,7
252,5
2070,6
5855,6
652,7
1687,7
782,7
2886,5
1059,4
5546,7
2035,5
5226,6
290,7
4457,5
100,5
2484,5
4787,8
1257,6
1415,5
4388,6
4271,5
4517,6
4797,6
6496,6
277,5
6282,5
4492,6
6147,6
5032,6
6184,6
554,7
3575,7
1897,6
6434,6
3765,5
2537,6
1810,6
2290,7
4935,7
5738,7
3358,6
5288,8
1880,5
430,5
2248,6
4381,6
5397,6
809,6
5926,6
2416,6
3930,6
3952,6
2838,7
4330,5
2657,7
1785,6
740,3
4077,6
375,7
4817,6
727,5
472,6
5039,5
2567,5
5232,7
1798,6
3464,5
3308,6
2258,5
5595,6
410,6
4568,6
5751,6
5464,6
4133,6
2546,5
5596,5
4234,6
5874,5
3019,6
3939,6
2973,6
1216,8
927,7
5801,7
5153,5
2231,6
2860,6
1765,5
6274,5
4820,5
4521,5
4195,8
4138,6
751,6
971,7
4030,5
3927,5
5102,6
247,7
4122,6
4700,5
1437,7
109,5
1027,4
3170,6
3122,6
2883,7
1599,6
3906,7
2827,7
4282,5
3268,6
1721,7
2456,6
1852,7
3750,7
5391,6
2157,6
2366,5
1206,6
4816,6
5234,6
3303,7
3425,6
701,7
4829,7
4110,5
1976,5
4718,6
4993,6
5528,6
13,7
4925,5
2528,6
5519,5
2530,6
5941,7
5549,5
761,6
4958,5
1623,6
5986,7
1048,5
1461,6
4167,8
4039,4
4912,5
4758,6
6442,7
6141,5
5813,6
3686,5
2125,5
328,6
2531,4
502,6
3186,4
6441,6
1873,5
648,5
3472,6
6407,5
115,4
2342,8
3428,6
58,6
4057,6
643,5
2757,5
6286,5
5539,5
2118,6
2888,4
4407,6
3080,6
3747,6
4682,6
99,6
6333,6
4248,6
5220,5
2987,7
2507,7
1576,6
3579,7
3611,6
2102,5
5294,5
5001,5
6320,6
2843,6
5471,4
5414,6
4513,6
4232,6
5518,5
4784,5
4512,6
3449,8
5031,6
2486,5
1466,6
120,5
3943,6
3183,6
5136,6
644,5
1698,6
2969,6
3261,5
2664,7
4884,5
5054,5
6346,5
862,6
57,6
1863,5
398,5
6070,6
6099,7
3885,6
462,5
5079,5
5463,5
1214,6
1478,6
5706,5
2090,5
4543,5
3226,6
4242,7
1607,7
6039,6
4256,5
618,6
5236,6
4660,6
1591,6
3674,5
4419,6
5872,7
5227,5
2393,6
6412,6
5943,6
1555,7
4518,6
545,6
5412,7
4059,6
4475,6
5380,5
3085,6
5314,6
326,6
3059,6
6373,7
5953,6
1393,6
5498,4
1082,6
1927,5
6336,5
1046,5
2909,6
1119,5
5899,7
1182,5
5750,5
4826,6
855,7
1694,6
15,7
6047,6
2569,6
1762,7
5277,6
1620,7
5328,7
5673,5
6241,6
5711,4
1197,7
319,6
1173,5
2512,6
4591,6
1592,6
159,8
6229,5
4738,6
3436,6
3037,6
4604,6
5550,5
4516,6
3615,6
5680,5
3935,5
5599,6
5644,6
2222,7
3463,7
4946,5
1347,7
567,5
4773,7
4375,6
3818,6
5795,6
905,4
2259,6
5395,5
3483,7
3260,6
4180,6
4286,6
2297,6
3867,5
747,6
5052,5
4424,6
716,6
3415,7
60,6
5282,5
5658,5
3326,5
1574,4
3137,6
5334,6
4313,6
615,5
441,6
4080,6
4534,6
3957,5
92,7
2058,5
3339,6
1774,6
4778,6
3123,5
3111,7
3883,6
5739,5
3974,6
508,6
2758,6
299,6
6244,5
5747,5
1865,6
2621,5
3316,6
4827,6
3096,7
3801,6
5487,7
2641,5
1606,6
4862,6
2054,5
1747,6
3923,5
2304,6
2211,6
2375,6
5056,5
965,5
3249,7
2029,6
3543,6
1636,5
863,6
5894,7
5698,5
5532,5
4353,6
5693,5
5449,6
1841,7
1388,7
4295,5
6404,6
5020,5
4811,6
4382,6
487,6
6402,6
3405,6
1145,5
3664,8
350,7
117,6
3006,6
4752,7
2541,6
2369,6
3211,6
2390,8
